Photo file name,Brand,Fragrance,Type,Size,For,Price (GHS),Qty in Stock
hugo-boss-boss-bottled.jpg,Hugo Boss,Boss Bottled,EDT,100 ml,Men,840,
hugo-boss-boss-bottled-bold-citrus.jpg,Hugo Boss,Boss Bottled Bold Citrus,EDP,100 ml,Men,840,
giorgio-armani-acqua-di-gio-pour-homme.jpg,Giorgio Armani,Acqua di Gio Pour Homme,EDT,100 ml,Men,1020,
giorgio-armani-si-passione.jpg,Giorgio Armani,Si Passione,EDP,100 ml,Women,1020,
giorgio-armani-my-way.png,Giorgio Armani,My Way,EDP,90 ml,Women,1150,
giorgio-armani-my-way-floral.jpg,Giorgio Armani,My Way Floral,EDP,90 ml,Women,1150,
emporio-armani-stronger-with-you-parfum.jpg,Emporio Armani,Stronger With You Parfum,Parfum,100 ml,Men,1210,
emporio-armani-stronger-with-you-sandalwood.jpg,Emporio Armani,Stronger With You Sandalwood,EDP,100 ml,Men,1210,
emporio-armani-stronger-with-you-oud.jpg,Emporio Armani,Stronger With You Oud,EDP,100 ml,Men,1210,
dior-sauvage-elixir.png,Dior,Sauvage Elixir,Elixir,100 ml,Men,1430,
dior-sauvage.jpg,Dior,Sauvage,EDP,100 ml,Men,1180,
dior-rouge-trafalgar-la-collection-privee.jpg,Dior,Rouge Trafalgar (La Collection Privee),Esprit de Parfum,,Unisex,1080,
dior-oud-ispahan-la-collection-privee.jpg,Dior,Oud Ispahan (La Collection Privee),EDP,125 ml,Unisex,1080,
dior-miss-dior-bobby-edition.jpg,Dior,Miss Dior - Bobby Edition,EDP,,Women,980,
tom-ford-oud-minerale.jpg,Tom Ford,Oud Minerale,EDP,100 ml,Unisex,1270,
tom-ford-black-orchid.jpg,Tom Ford,Black Orchid,EDP,100 ml,Unisex,1080,
tom-ford-eau-d-ombre-leather.jpg,Tom Ford,Eau d'Ombre Leather,EDT,100 ml,Unisex,1270,
tom-ford-fucking-fabulous-fabulous.png,Tom Ford,Fucking Fabulous / Fabulous,EDP,100 ml,Unisex,1580,
tom-ford-oud-wood.jpg,Tom Ford,Oud Wood,EDP,100 ml,Unisex,1470,
bvlgari-pour-homme-soir.jpg,Bvlgari,Pour Homme Soir,EDT,100 ml,Men,980,
bvlgari-man-in-black.jpg,Bvlgari,Man In Black,EDP,100 ml,Men,980,
gucci-guilty-pour-homme.jpg,Gucci,Guilty Pour Homme,EDT,90 ml,Men,870,
jo-malone-london-orange-blossom.jpg,Jo Malone London,Orange Blossom,Cologne,100 ml,Unisex,1280,
burberry-goddess.jpg,Burberry,Goddess,EDP,100 ml,Women,1080,
